seller-sku	fulfillment-channel-sku	asin	condition-type	Warehouse-Condition-code	Quantity Available
10666	X001CXO1YB	B004ILTH1K	UsedGood	SELLABLE	0
10706	X001D43131	B006LXOJC0	UsedGood	SELLABLE	0
10709	X001CWO49T	B00B28YQYK	UsedAcceptable	SELLABLE	0
10716	X001CWNM5V	B000BKXE02	UsedGood	SELLABLE	0
10674	X001CXORR7	B006LXOJC0	UsedGood	SELLABLE	0
10683	X001CZYMQL	B00009W5F0	UsedAcceptable	SELLABLE	0
10612	X001D42FXD	B00489QIVE	UsedAcceptable	SELLABLE	0
10532	X001D4312H	B01KIMOEW4	UsedGood	SELLABLE	0
10662	X001CXW4GD	B0044XDA3S	UsedAcceptable	SELLABLE	0
10541	X001CZEQLR	B007F183LK	UsedAcceptable	SELLABLE	0
10659	X001CXRORR	B00CLD39C0	UsedAcceptable	SELLABLE	0
10642	X001CWG3QL	B007JRUSE0	UsedGood	SELLABLE	0
10525	X001CXXEMB	B007K9OIMU	UsedAcceptable	SELLABLE	0
10650	X001CQ2AVT	B00WBJGUA2	UsedGood	SELLABLE	0
10570	X001CXN2MX	B00004XOSZ	UsedAcceptable	SELLABLE	0
10630	X001CZ1HNR	B00H4O1L9Y	UsedAcceptable	SELLABLE	0
10667	X001CXORJ5	B00IOEFBKS	UsedGood	SELLABLE	0
10682	X001D2FVY5	B01E0472TI	UsedAcceptable	SELLABLE	0
